ID,Priority,Status,Are,Title,Description,Source,Created On
RM-001,P0,,Compositor,Fix halo around pasted/restored regions,"Investigate mask feather/dilation, colorspace/range mismatch, resize interpolation; match LADA paste/blend behavior.",Jan2026-26.md; Jan2026-27.md,1/27/2026
RM-002,P0,Done,Detection/Preprocess,Eliminate YOLO CPU hop,Move letterbox/preprocess to torch on GPU/XPU; keep frames and YOLO outputs on-device (no CPU uint8/NumPy).,Dec-19.md:590; Dec-19.md:304,1/27/2026
RM-003,P0,,Video I/O,Fix remux/mux timestamps (Duration N/A),Ensure output container has valid duration/PTS/DTS; handle VFR; verify via ffprobe frame pkt_pts_time/pkt_duration_time.,Dec-19.md:3254; Dec-21.md,1/27/2026
RM-004,P0,,Pipeline,Early passthrough when no detections,"If det=0 and no active scenes, encode original frame immediately (avoid storing full-res GPU frame)",Dec-26.md:4025,1/27/2026
RM-005,P1,,Detection,Tiled detection for 4K+ sources,Add overlapping tiling path for YOLO; merge boxes with NMS/union; reduce missed small mosaics in high-res sources.,Nov-10.md:506; Nov-10.md:613,1/27/2026
RM-006,P1,,Detection/Mask,GPU mask postproc (dilate/feather/gain),Implement dilation/feathering/gain entirely on GPU/XPU (torch); reduce CPU mask ops and match LADA blend strategy.,Nov-10.md:506,1/27/2026
RM-007,P1,,Restoration,ROI-cropped restoration to save compute,"Optionally crop to ROI bbox (+context), run restoration on crop, paste back; reduce VRAM/compute for small mosaics.",Nov-10.md:512,1/27/2026
RM-008,P1,,Detection Tuning,Dynamic imgsz by input resolution,"Auto imgsz heuristic (e.g., 640 for 1080p, 960 for higher-res) to improve detection quality/perf balance.",Dec-26.md:1659; TODO-17,1/27/2026
RM-009,P1,,Detection Robustness,Investigate intermittent missed ROI detections,"Compare padding/letterbox parity, conf threshold, imgsz, fp16/precision, ROI dilation/union; add logging to isolate frames.",TODO-19,1/27/2026
RM-010,P1,,ROI Tracking,Control ROI unions vs per-box,Add option to control union/merge strategy and padding rounding; mitigate ROI flicker and scene membership drift.,Dec-26.md; TODO list,1/27/2026
RM-011,P1,,Video I/O,NVDEC prefetch N/N+1 (2-batch),Decode next batch while current batch runs detection/restoration to reduce GPU idle gaps and keep NVDEC busy.,Jan2026-23.md thread notes,1/27/2026
RM-012,P2,,CLI/UX,Custom ffmpeg decoder/encoder args,Allow user-specified ffmpeg input and output options; ensure input opts placed before -i; validate and surface stderr.,Existing memory,1/27/2026
RM-013,P2,,Metrics,Better timing + print around remux,Add prints around remux and per-stage timing so perf regressions are visible; include decode/det/rest/encode durations.,Jan2026-23.md:2234,1/27/2026
RM-014,P2,,VR/SBS,Parallel SBS processing,Explore running left/right eye restoration concurrently (if VRAM allows) and/or overlap pipeline stages.,Dec-26.md; Dec-31.md,1/27/2026
